Variable Name,Defintion/ Cluster name,Type of Variable,Date announced,Date of last onset,Missing observations,Source,Dataset,State,District,Category,Status,New Cases,Total cases,Active cases,Tests,ICU admission,Deaths,Recovered
ara_murni,Ara Murni,Time-series (numeric),12/4/2021,9/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,"Terengganu, Selangor","Hulu Terengganu, Kuala Nerus, Kuala Terengganu, Marang, Setiu, Petaling",workplace,active,0,74,0,2807,0,1,73
assumption,Assumption,Time-series (numeric),14/11/2020,1/12/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Pulau Pinang & Kedah,"Seberang Perai Utara, Seberang Perai Tengah, Seberang Perai Selatan & Kulim",workplace,ended,0,20,0,262,0,0,20
astaka,Astaka,Time-series (numeric),30/10/2020,26/11/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor & Pahang ,"Petaling, Hulu Langat, Sepang, Kuala Selangor, Klang & Maran",workplace,ended,0,64,0,256,0,0,64
atabara,Atabara,Time-series (numeric),4/12/2020,14/12/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Pahang,Kuantan & Pekan,community,ended,0,7,0,280,0,0,7
atap,Atap,Time-series (numeric),9/10/2020,8/10/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah ,Kota Kinabalu & Putatan,workplace,ended,0,4,0,48,0,0,4
auto,Auto,Time-series (numeric),18/10/2020,14/11/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,"Selangor, Negeri Sembilan, WP Kuala Lumpur & WP Putrajaya","Petaling, Klang, Kuala Langat, Sepang, Gombak, Hulu Langat, Kuala Selangor, Seremban, Titiwangsa & Putrajaya",community,ended,0,128,0,1173,0,1,127
avenue,Avenue,Time-series (numeric),17/11/2020,3/12/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah,Penampang & Putatan,workplace,ended,0,146,0,394,0,0,146
bah_arnab,Bah Arnab,Time-series (numeric),8/10/2020,17/11/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sarawak,Kuching,community,ended,0,12,0,72,0,0,12
bah_bangat,Bah Bangat,Time-series (numeric),8/10/2020,21/10/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,WP Labuan,Labuan ,community,ended,0,11,0,803,0,0,11
bah_bemban,Bah Bemban,Time-series (numeric),17/10/2020,16/11/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Terengganu & Sabah,Dungun & Kota Kinabalu,community,ended,0,12,0,222,0,0,12
bah_bercham,Bah Bercham,Time-series (numeric),19/11/2020,18/11/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Perak,Kinta,community,ended,0,5,0,137,0,0,5
bah_bundle,Bah Bundle,Time-series (numeric),11/10/2020,22/10/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,WP Labuan & Johor ,Labuan & Johor Bahru,workplace,ended,0,31,0,1028,0,0,31
bah_kasturi,Bah Kasturi,Time-series (numeric),8/10/2020,21/10/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,"Negeri Sembilan, WP Kuala Lumpur, WP Putrajaya, Selangor & Perak","Seremban, Cheras, Titiwangsa, Putrajaya,Petaling, Klang, Kuala Langat, Hulu Langat, Gombak & Muallim",community,ended,0,28,0,671,0,0,28
bah_kayu,Bah Kayu,Time-series (numeric),24/10/2020,23/10/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor & WP Kuala Lumpur,Gombak & Titiwangsa,workplace,ended,0,19,0,692,0,0,19
bah_kenangan,Bah Kenangan,Time-series (numeric),13/10/2020,10/11/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor,Hulu Langat ,community,ended,0,29,0,61,0,0,29
bah_ketil,Bah Ketil,Time-series (numeric),1/10/2020,14/10/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kedah,"Baling, Langkawi & Kuala Muda",community,ended,0,15,0,490,0,0,15
bah_kota,Bah Kota,Time-series (numeric),21/10/2020,27/10/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor & Negeri Sembilan ,"Sepang, Petaling & Seremban",community,ended,0,13,0,181,0,0,13
bah_lada,Bah Lada,Time-series (numeric),9/10/2020,8/10/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Perak ,Perak Tengah & Hilir Perak,community,ended,0,4,0,56,0,0,4
bah_layangan,Bah Layangan,Time-series (numeric),18/10/2020,26/10/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,WP Labuan & Negeri Sembilan ,Labuan & Rembau ,community,ended,0,14,0,142,0,0,14
bah_lunas,Bah Lunas,Time-series (numeric),3/10/2020,16/11/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kedah,Kulim & Baling,community,ended,0,5,0,161,0,0,5
bah_manggis,Bah Manggis,Time-series (numeric),10/10/2020,17/1/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,"Sabah, Selangor & Negeri Sembilan","Tawau, Kuala Langat, Klang, Gombak, Sepang, Kuala Selangor, Seremban & Port Dickson",community,ended,0,417,0,2619,0,0,417
bah_medan,Bah Medan,Time-series (numeric),29/10/2020,17/12/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor,Sepang ,community,ended,0,65,0,1028,0,0,65
bah_mutiara,Bah Mutiara,Time-series (numeric),22/10/2020,21/10/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,"Selangor, WP Kuala Lumpur & Negeri Sembilan ","Hulu Langat, Titiwangsa, Lembah Pantai & Seremban",community,ended,0,10,0,96,0,0,10
bah_pangkalan,Bah Pasir,Time-series (numeric),15/10/2020,15/10/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Negeri Sembilan & WP Putrajaya,Port Dickson & Putrajaya,community,ended,0,5,0,90,0,0,5
bah_pasir,Bah Pengkalan,Time-series (numeric),15/10/2020,15/10/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Perak ,Hulu Perak,education,ended,0,6,0,354,0,0,6
bah_perdana,Bah Perdana,Time-series (numeric),12/10/2020,11/10/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,WP Kuala Lumpur ,Cheras & Lembah Pantai,community,ended,0,9,0,55,0,0,9
bah_puchong,Bah Puchong,Time-series (numeric),7/10/2020,9/10/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,"Selangor, Perak & WP Kuala Lumpur","Klang, Petaling, Kinta, Larut Matang, Selama & Titiwangsa ",community,ended,0,14,0,88,0,0,14
bah_rose,Bah Rose,Time-series (numeric),3/10/2020,14/10/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kedah & Pulau Pinang,Kuala Muda & Seberang Perai Utara,community,ended,0,11,0,563,0,0,11
bah_sahabat,Bah Sahabat,Time-series (numeric),9/10/2020,8/10/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Terengganu,"Marang, Kuala Terengganu & Kuala Nerus",community,ended,0,11,0,53,0,0,11
bah_sayap,Bah Sayap,Time-series (numeric),5/1/2021,25/1/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sarawak,Miri,workplace,ended,0,96,0,1047,0,0,96
bah_sintok,Bah Sintok,Time-series (numeric),5/10/2020,20/10/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,"Kedah, Negeri Sembilan & Selangor","Kubang Pasu, Seremban & Gombak",community,ended,0,50,0,491,0,0,50
bah_tanjung,Bah Tanjung,Time-series (numeric),5/10/2020,6/10/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Terengganu,Kuala Nerus,community,ended,0,8,0,230,0,0,8
bah_tropicana,Bah Tropicana,Time-series (numeric),12/10/2020,18/11/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor & WP Kuala Lumpur,"Petaling, Gombak, Klang, Kuala Langat, Titiwangsa, Lembah Pantai, Kepong & Cheras",workplace,ended,0,76,0,945,0,0,76
baiduri,Baiduri,Time-series (numeric),12/10/2020,24/10/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,"Selangor, Negeri Sembilan &  WP Kuala Lumpur","Hulu Langat, Port Dickson, Cheras, Gombak Titiwangsa & Lembah Pantai",workplace,ended,0,22,0,363,0,0,22
bakau,Bakau,Time-series (numeric),19/9/2020,30/9/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah,Semporna,community,ended,0,18,0,182,0,1,17
bakawali,Bakawali,Time-series (numeric),29/9/2020,30/9/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Johor,Johor Bahru,workplace,ended,0,15,0,372,0,0,15
baki,Baki,Time-series (numeric),24/10/2020,6/11/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sarawak & Perak ,"Kuching, Kinta, Larut Matang & Selama",community,ended,0,46,0,3141,0,0,46
bako_hilir,Bako Hilir,Time-series (numeric),11/5/2021,10/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sarawak,Kuching,community,active,0,18,0,62,0,0,18
bakti,Bakti,Time-series (numeric),22/11/2020,27/12/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Negeri Sembilan & Melaka,Seremban & Melaka Tengah,detentionCentre,ended,0,1068,0,1848,0,0,1068
balakong_jaya2,Balakong Jaya Dua,Time-series (numeric),23/3/2021,14/4/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor,"Hulu Langat, Kuala Selangor, Klang",workplace,ended,0,48,0,88,0,0,48
balakong_jaya3,Balakong Jaya Tiga,Time-series (numeric),10/5/2021,10/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor,Hulu Langat,workplace,active,0,11,0,16,0,0,11
balakong1,Balakong Satu,Time-series (numeric),3/3/2021,24/3/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor,Hulu Langat,workplace,ended,0,16,0,66,0,0,16
baloi,Baloi,Time-series (numeric),2/12/2020,11/12/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Johor,"Johor Bahru, Pontian, Batu Pahat, Kulai & Tangkak",education,ended,0,42,0,369,0,0,42
bandar_baru,Bandar Baru,Time-series (numeric),19/3/2021,11/4/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor,"Petaling, Hulu Selangor, Gombak",workplace,ended,0,94,0,717,0,0,94
bandar_baru_sentul,Bandar Baru Sentul,Time-series (numeric),27/4/2021,17/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,WP Kuala Lumpur,"Kepong, Titiwangsa",community,active,0,54,0,227,0,0,54
bandar_impian,Bandar Impian,Time-series (numeric),9/12/2020,12/12/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,"Johor, Kelantan & Perak","Kluang, Pasir Puteh & Kuala Kangsar",community,ended,0,12,0,120,0,1,11
bandar_jln_putra,Bandar Jalan Putra,Time-series (numeric),23/5/2021,24/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Pahang,Kuantan,workplace,active,0,15,0,161,0,1,14
bandar_lama,Bandar Lama,Time-series (numeric),3/2/2021,5/2/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah,Tawau,workplace,ended,0,26,0,56,0,0,26
bandar_lama_machang,Bandar Lama Machang,Time-series (numeric),26/5/2021,15/6/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kelantan,Machang,community,active,0,9,0,42,0,0,9
bandar_sri,Bandar Sri,Time-series (numeric),25/3/2021,1/4/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,"WP Kuala Lumpur, Selangor","Cheras, Titiwangsa, Hulu Langat, Petaling",workplace,ended,0,19,0,52,0,0,19
bandar_teknologi,Bandar Teknologi,Time-series (numeric),5/2/2021,4/2/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor,Hulu Langat,workplace,ended,0,30,0,61,0,0,30
bandaran,Bandaran,Time-series (numeric),25/10/2020,5/11/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah,"Kota Kinabalu, Papar & Penampang",workplace,ended,0,18,0,72,0,0,18
bangau,Bangau-Bangau,Time-series (numeric),22/9/2020,19/10/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah,Semporna & Tawau,community,ended,0,432,0,1010,0,4,428
banggol,Banggol,Time-series (numeric),18/5/2021,6/6/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,"Terengganu, Kelantan","Setiu, Kuala Nerus, Pasir Puteh",religious,active,0,170,0,894,0,1,169
banggol_chicha,Banggol Chicha,Time-series (numeric),16/3/2021,31/3/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kelantan,"Pasir Mas, Tumpat, Kota Bharu, Machang, Tanah Merah",community,ended,0,34,0,317,0,0,34
banggol_gajah_mati,Banggol Gajah Mati,Time-series (numeric),11/5/2021,10/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kelantan,Pasir Mas,community,active,0,28,0,60,0,0,28
banggol_lepah,Banggol Lepah,Time-series (numeric),17/3/2021,17/4/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kelantan,"Bachok, Kuala Krai, Tanah Merah, Pasir Puteh, Kota Bharu , Pasir Mas, Jeli, Machang, Tumpat",workplace,ended,0,143,0,1032,0,0,143
bangi_wedding,SubTabligh Sri Petaling - Majlis Perkahwinan Bandar Baru Bangi,Time-series (numeric),6/4/2020,14/3/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,"WP Kuala Lumpur, WP Putrajaya, Kedah, Selangor, Perak, Kelantan, Terengganu, Johor, Melaka & Negeri Sembilan",Pelbagai,religious,ended,0,159,0,938,0,0,159
banjaran_gading,Banjaran Gading,Time-series (numeric),2/4/2021,1/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah,Kota Kinabalu,education,active,0,44,0,5597,0,0,44
basung,Basung,Time-series (numeric),21/10/2020,14/11/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah,Kudat,workplace,ended,0,94,0,700,0,0,94
batu,Batu,Time-series (numeric),6/10/2020,5/10/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Perak,Larut Matang & Selama ,community,ended,0,7,0,1174,0,0,7
batu_2_5,Batu Dua Setengah,Time-series (numeric),20/2/2021,21/2/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Johor,Batu Pahat,workplace,ended,0,100,0,1212,0,0,100
batu_20,Batu 20,Time-series (numeric),10/2/2021,18/2/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor,Gombak,workplace,ended,0,61,0,224,0,0,61
batu_38,Batu 38,Time-series (numeric),8/2/2021,11/2/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah,Kalabakan,workplace,ended,0,21,0,108,0,0,21
batu_39,Batu 39,Time-series (numeric),20/12/2020,14/1/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Johor,Pontian,workplace,ended,0,101,0,441,0,0,101
batu_5_jln_sibuga,Batu Lima Jalan Sibuga,Time-series (numeric),9/4/2021,8/4/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah,Sandakan,education,ended,0,8,0,144,0,0,8
batu_57,Batu 57,Time-series (numeric),14/2/2021,13/2/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Johor,Batu Pahat,workplace,ended,0,13,0,91,0,0,13
batu_besar,Batu Besar,Time-series (numeric),21/12/2020,30/12/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor,Klang,workplace,ended,0,119,0,606,0,0,119
batu_gong,Batu Gong,Time-series (numeric),26/3/2021,14/4/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sarawak,Serian,community,ended,0,109,0,525,0,0,109
batu_lada,Batu Lada,Time-series (numeric),29/4/2021,4/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kelantan,"Kuala Krai, Machang",education,active,0,36,0,241,0,1,35
batu_lima,Batu Lima,Time-series (numeric),29/11/2020,4/12/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah,Kota Kinabalu,workplace,ended,0,54,0,121,0,0,54
batu_sembilan,Batu Sembilan,Time-series (numeric),30/11/2020,6/12/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor,"Kuala Langat, Klang, Petaling & Kuala Selangor",highRisk,ended,0,29,0,159,0,0,29
batu_tiga,Batu Tiga,Time-series (numeric),5/12/2020,12/12/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah,Tawau,workplace,ended,0,33,0,73,0,0,33
batu_tujuh,Batu Tujuh,Time-series (numeric),25/11/2020,1/1/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Johor & Melaka,"Batu Pahat, Johor Bahru, Kluang, Muar, Tangkak, Pontian & Jasin",religious,ended,0,688,0,6850,0,3,685
batu10,Batu Sepuluh,Time-series (numeric),14/4/2021,2/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah,Tawau,workplace,active,0,28,0,50,0,0,28
batu10_jln_gambang,Batu Sepuluh Jalan Gambang,Time-series (numeric),27/5/2021,6/6/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Pahang,Kuantan,workplace,active,0,47,0,140,0,0,47
batu11,Batu Sebelas,Time-series (numeric),20/2/2021,9/3/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Perak,"Kinta, Kuala Kangsar",workplace,ended,0,48,0,90,0,0,48
batu19,Batu 19,Time-series (numeric),15/3/2021,25/3/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Johor,"Kulai, Johor Bahru",workplace,ended,0,23,0,71,0,0,23
batu21,Batu 21,Time-series (numeric),4/3/2021,3/3/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Johor,"Kulai, Johor Bahru",workplace,ended,0,15,0,91,0,0,15
batu22,Batu 22,Time-series (numeric),22/3/2021,5/4/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Johor,"Kulai, Johor Bahru",workplace,ended,0,90,0,230,0,0,90
batu25,Batu 25,Time-series (numeric),4/5/2021,3/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sarawak,"Bintulu, Sebauh",community,active,0,98,0,199,0,1,97
batu3_5,Batu Tiga Setengah,Time-series (numeric),3/2/2021,18/2/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Johor,Batu Pahat,workplace,ended,0,167,0,492,0,0,167
batu3_lama,Batu Tiga Lama,Time-series (numeric),15/3/2021,14/3/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Selangor,"Petaling, Kuala Selangor",workplace,ended,0,20,0,221,0,0,20
batu30,Batu 30,Time-series (numeric),4/5/2021,5/5/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kelantan,Machang,community,active,0,60,0,306,0,0,60
batu4,Batu Empat,Time-series (numeric),28/2/2021,21/3/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Johor,"Batu Pahat, Segamat, Pontian, Kluang",workplace,ended,0,595,0,1564,0,0,595
batu6,Batu Enam,Time-series (numeric),20/1/2021,3/2/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Perak,Batang Padang & Kampar,community,ended,0,52,0,377,0,0,52
batu6_5,Batu Enam Setengah,Time-series (numeric),30/3/2021,8/4/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Negeri Sembilan,Seremban,workplace,ended,0,57,0,155,0,0,57
batu8,Batu Lapan,Time-series (numeric),2/1/2021,24/1/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Sabah,"Tambunan, Ranau & Kota Belud",highRisk,ended,0,77,0,479,0,0,77
batu8_bukit_rambai,Batu Lapan Bukit Rambai,Time-series (numeric),20/5/2021,7/6/2021,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Melaka,"Melaka Tengah, Jasin",community,active,0,25,0,51,0,0,25
bayam_indah,Bayam Indah,Time-series (numeric),22/11/2020,19/12/2020,Nil,"Director General, Ministry  of Health Malaysia, Daily Press Release",clusters_timeseries,Kedah & Pulau Pinang,"Kulim, Kuala Muda, Baling, Kota Setar, Sik, Padang Terap, Seberang Perai Utara, Seberang Perai Selatan, Seberang Perai Tengah, Barat Daya & Timur Laut",community,ended,0,366,0,4205,0,1,365
