No.,Variable name,Types of variable,Variables in dataset,Variable definition,Missing observations,Source
41,Record government policy on contact tracing after a positive diagnosis,Continuous ,contact_tracing,"From Oxford Covid-19 Government Response Tracker which tracks policies across the world. Collection and maintenance of data is by the Blavatnik School of Government in conjunction with the University of Oxford.

Variable normalized using min-max normalization to scale variable to between 0 (Policy absent) ot 1 (Most stringent policy)

Reporting delay of 3 days leading to 3 days of missing data",3,Oxford COVID-19 Government Response Tracker (Open Source)
42,Record policies on the use of facial coverings outside the home,Continuous ,facial_covering,"From Oxford Covid-19 Government Response Tracker which tracks policies across the world. Collection and maintenance of data is by the Blavatnik School of Government in conjunction with the University of Oxford.

Variable normalized using min-max normalization to scale variable to between 0 (Policy absent) ot 1 (Most stringent policy)

Reporting delay of 7 days leading to 7 days of missing data",7,Oxford COVID-19 Government Response Tracker (Open Source)
43,Record closings of schools and universities,Categorical,school_closures_fctr,"From Oxford Covid-19 Government Response Tracker which tracks policies across the world. Collection and maintenance of data is by the Blavatnik School of Government in conjunction with the University of Oxford.

Response is ordinal:
0 - no measures
1 - recommend closing
2 - require closing (only some levels or categories, eg just high school, or just public schools)
3 - require closing all levels
Blank - no data

Reporting delay of 3 days leading to 3 days of missing data",3,Oxford COVID-19 Government Response Tracker (Open Source)
44,Record closings of workplaces,Categorical,workplace_closures_fctr,"From Oxford Covid-19 Government Response Tracker which tracks policies across the world. Collection and maintenance of data is by the Blavatnik School of Government in conjunction with the University of Oxford.

Response is ordinal:
0 - no measures
1 - recommend closing (or recommend work from home)
2 - require closing (or work from home) for some sectors or categories of workers
3 - require closing (or work from home) for all-but-essential workplaces (eg grocery stores, doctors)
Blank - no data

Reporting delay of 3 days leading to 3 days of missing data",4,Oxford COVID-19 Government Response Tracker (Open Source)
45,Record cancelling public events,Categorical,public_events_fctr,"From Oxford Covid-19 Government Response Tracker which tracks policies across the world. Collection and maintenance of data is by the Blavatnik School of Government in conjunction with the University of Oxford.

Response is ordinal:
0 - no measures
1 - recommend cancelling
2 - require cancelling
Blank - no data

Reporting delay of 3 days leading to 3 days of missing data",5,Oxford COVID-19 Government Response Tracker (Open Source)
46,Record limits on private gatherings,Categorical,gathering_fctr,"From Oxford Covid-19 Government Response Tracker which tracks policies across the world. Collection and maintenance of data is by the Blavatnik School of Government in conjunction with the University of Oxford.

Response is ordinal:
0 - no restrictions
1 - restrictions on very large gatherings (the limit is above 1000 people)
2 - restrictions on gatherings between 101-1000 people
3 - restrictions on gatherings between 11-100 people
4 - restrictions on gatherings of 10 people or less
Blank - no data

Reporting delay of 3 days leading to 3 days of missing data",6,Oxford COVID-19 Government Response Tracker (Open Source)
47,Record closing of public transport,Categorical,public_transport_fctr,"From Oxford Covid-19 Government Response Tracker which tracks policies across the world. Collection and maintenance of data is by the Blavatnik School of Government in conjunction with the University of Oxford.

Response is ordinal:
0 - no measures
1 - recommend closing (or significantly reduce volume/route/means of transport available)
2 - require closing (or prohibit most citizens from using it)
Blank - no data

Reporting delay of 3 days leading to 3 days of missing data",7,Oxford COVID-19 Government Response Tracker (Open Source)
48,"Record orders to ""shelter-in-place"" and otherwise confine to the home",Categorical,stayathome_fctr,"From Oxford Covid-19 Government Response Tracker which tracks policies across the world. Collection and maintenance of data is by the Blavatnik School of Government in conjunction with the University of Oxford.

Response is ordinal:
0 - no measures
1 - recommend not leaving house
2 - require not leaving house with exceptions for daily exercise, grocery shopping, and 'essential' trips
3 - require not leaving house with minimal exceptions (eg allowed to leave once a week, or only one person can leave at a time, etc)
Blank - no data

Reporting delay of 3 days leading to 3 days of missing data",8,Oxford COVID-19 Government Response Tracker (Open Source)
49,Record restrictions on internal movement between cities/regions,Categorical,domestic_travel_fctr,"From Oxford Covid-19 Government Response Tracker which tracks policies across the world. Collection and maintenance of data is by the Blavatnik School of Government in conjunction with the University of Oxford.

Response is ordinal:
0 - no measures
1 - recommend not to travel between regions/cities
2 - internal movement restrictions in place
Blank - no data

Reporting delay of 3 days leading to 3 days of missing data",9,Oxford COVID-19 Government Response Tracker (Open Source)
50,Record restrictions on international travel,Categorical,international_travel_fctr,"From Oxford Covid-19 Government Response Tracker which tracks policies across the world. Collection and maintenance of data is by the Blavatnik School of Government in conjunction with the University of Oxford.

Response is ordinal:
0 - no restrictions
1 - screening arrivals
2 - quarantine arrivals from some or all regions
3 - ban arrivals from some regions
4 - ban on all regions or total border closure
Blank - no data

Reporting delay of 3 days leading to 3 days of missing data
Records policy for foreign travellers, not citizens",10,Oxford COVID-19 Government Response Tracker (Open Source)
51,Record if the government is providing direct cash payments to people who lose their jobs or cannot work.,Categorical,debt_relief_fctr,"From Oxford Covid-19 Government Response Tracker which tracks policies across the world. Collection and maintenance of data is by the Blavatnik School of Government in conjunction with the University of Oxford.

Response is ordinal:
0 - no debt/contract relief
1 - narrow relief, specific to one kind of contract
2 - broad debt/contract relief

Reporting delay of 3 days leading to 3 days of missing data",11,Oxford COVID-19 Government Response Tracker (Open Source)
52,"Record if the government is freezing financial obligations for households (eg stopping loan repayments, preventing services like water from stopping, or banning evictions)",Categorical,income_support_fctr,"From Oxford Covid-19 Government Response Tracker which tracks policies across the world. Collection and maintenance of data is by the Blavatnik School of Government in conjunction with the University of Oxford.

Response is ordinal:
0 - no income support
1 - government is replacing less than 50% of lost salary (or if a flat sum, it is less than 50% median salary)
2 - government is replacing 50% or more of lost salary (or if a flat sum, it is greater than 50% median salary)
Blank - no data

Reporting delay of 3 days leading to 3 days of missing data
Only includes payments to firms if explicitly linked to payroll/salaries",12,Oxford COVID-19 Government Response Tracker (Open Source)
53,Record presence of public info campaigns,Categorical,public_info_fctr,"From Oxford Covid-19 Government Response Tracker which tracks policies across the world. Collection and maintenance of data is by the Blavatnik School of Government in conjunction with the University of Oxford.

Response is ordinal:
0 - no Covid-19 public information campaign
1 - public officials urging caution about Covid-19
2- coordinated public information campaign (eg across traditional and social media)
Blank - no data

Reporting delay of 3 days leading to 3 days of missing data",13,Oxford COVID-19 Government Response Tracker (Open Source)
54,Record government policy on who has access to testing,Categorical,testing_fctr,"From Oxford Covid-19 Government Response Tracker which tracks policies across the world. Collection and maintenance of data is by the Blavatnik School of Government in conjunction with the University of Oxford.

Response is ordinal:
0 - no testing policy
1 - only those who both (a) have symptoms AND (b) meet specific criteria (eg key workers, admitted to hospital, came into contact with a known case, returned from overseas)
2 - testing of anyone showing Covid-19 symptoms
3 - open public testing (eg ""drive through"" testing available to asymptomatic people)
Blank - no data

Reporting delay of 3 days leading to 3 days of missing data
Records policies about testing for current infection (PCR tests) not testing for immunity (antibody test)",14,Oxford COVID-19 Government Response Tracker (Open Source)
55,Record government policy on contact tracing after a positive diagnosis,Categorical,contact_tracing_fctr,"From Oxford Covid-19 Government Response Tracker which tracks policies across the world. Collection and maintenance of data is by the Blavatnik School of Government in conjunction with the University of Oxford.

Response is ordinal:
0 - no contact tracing
1 - limited contact tracing; not done for all cases
2 - comprehensive contact tracing; done for all identified cases

Reporting delay of 3 days leading to 3 days of missing data
policies that would identify all people potentially exposed to Covid-19; voluntary bluetooth apps are unlikely to achieve this",15,Oxford COVID-19 Government Response Tracker (Open Source)
56,Record policies on the use of facial coverings outside the home,Categorical,facial_covering_fctr,"From Oxford Covid-19 Government Response Tracker which tracks policies across the world. Collection and maintenance of data is by the Blavatnik School of Government in conjunction with the University of Oxford.

Response is ordinal:
0 - No policy
1 - Recommended
2 - Required in some specified shared/public spaces outside the home with other people present, or some situations when social distancing not possible
3 - Required in all shared/public spaces outside the home with other people present or all situations when social distancing not possible
4 - Required outside the home at all times regardless of location or presence of other people

Reporting delay of 7 days leading to 7 days of missing data",7,Oxford COVID-19 Government Response Tracker (Open Source)
